[0] losses: [ 1.497 -0.419 19.972 20.375 -3.78 ]
[5] losses: [-4.296 -3.288  0.728  0.731 -4.017]
[840] losses: [ 6.862  1.898  0.028  0.028 -5.259]
[845] losses: [ 7.44  -5.039  0.031  0.032 -4.629]
[850] losses: [ 6.933  5.116  0.029  0.03  -5.657]
[855] losses: [ 7.708  1.522  0.035  0.038 -5.323]
[860] losses: [ 7.424 -2.28   0.031  0.032 -5.381]
[865] losses: [ 7.33   7.34   0.032  0.031 -3.9  ]
[870] losses: [ 7.367 -7.309  0.03   0.031 -5.478]
[875] losses: [ 7.334  3.1    0.033  0.032 -5.717]
[880] losses: [ 7.395  0.837  0.031  0.031 -3.6  ]
[885] losses: [ 7.31  -2.631  0.033  0.033 -5.511]
[890] losses: [ 7.833  2.533  0.037  0.037 -3.812]
[895] losses: [ 7.373 -1.728  0.03   0.032 -5.204]
[900] losses: [ 7.185 -0.509  0.034  0.034 -5.192]
[905] losses: [ 7.25   0.545  0.03   0.032 -4.543]
[910] losses: [ 7.457 -4.307  0.03   0.03  -5.107]
[915] losses: [ 7.276  1.842  0.031  0.032 -4.13 ]
[920] losses: [ 7.477  1.354  0.032  0.032 -4.856]
[925] losses: [ 7.305  1.376  0.036  0.037 -4.268]
[930] losses: [ 7.105  0.108  0.029  0.029 -5.049]
[935] losses: [ 7.31   2.096  0.03   0.031 -4.668]
[940] losses: [ 7.34  -2.01   0.029  0.031 -4.942]
[945] losses: [ 7.347 -1.822  0.031  0.031 -4.309]
[950] losses: [ 6.381  2.786  0.029  0.03  -4.335]
[955] losses: [ 7.596 -2.117  0.033  0.034 -5.317]
[960] losses: [ 6.292  0.407  0.026  0.028 -4.353]
[965] losses: [ 7.279  0.06   0.034  0.031 -4.376]
[970] losses: [ 7.662  0.74   0.037  0.038 -5.233]
[975] losses: [ 7.071  1.902  0.03   0.031 -5.132]
[980] losses: [ 7.042 -0.731  0.027  0.029 -5.593]
[985] losses: [ 7.393 -7.421  0.032  0.032 -5.609]
[990] losses: [ 7.306  0.224  0.03   0.031 -4.688]
[995] losses: [ 7.041 -4.416  0.029  0.03  -5.63 ]
[1000] losses: [ 7.465  5.463  0.033  0.034 -4.272]
[1005] losses: [ 7.165 -3.648  0.028  0.03  -5.062]
[1010] losses: [ 7.163  6.837  0.03   0.031 -5.883]
[1015] losses: [ 7.213 -3.526  0.031  0.031 -3.67 ]
[1020] losses: [ 7.263  0.436  0.029  0.029 -3.749]
[1025] losses: [ 7.205  2.344  0.034  0.034 -5.067]
[1030] losses: [ 6.792 -6.133  0.029  0.027 -4.789]
[1035] losses: [ 6.818  4.414  0.034  0.033 -3.836]
[1040] losses: [ 7.095  0.48   0.031  0.031 -4.503]
[1045] losses: [ 7.412  3.514  0.031  0.032 -5.019]
[1050] losses: [ 6.934  0.513  0.028  0.03  -5.39 ]
[1055] losses: [ 7.053 -0.868  0.031  0.032 -4.492]
[1060] losses: [ 7.184  1.245  0.029  0.029 -4.068]
[1065] losses: [ 6.513  2.278  0.031  0.032 -5.374]
[1070] losses: [ 7.425  2.76   0.031  0.031 -3.027]
[1075] losses: [ 6.83  -0.162  0.029  0.029 -5.115]
[1080] losses: [ 7.274 -7.002  0.03   0.03  -3.481]
[1085] losses: [ 6.889  4.378  0.03   0.029 -4.611]
[1090] losses: [ 6.784 -1.089  0.029  0.029 -5.783]
[1095] losses: [ 6.955  6.542  0.035  0.035 -3.15 ]
[1100] losses: [ 7.023 -4.57   0.032  0.034 -4.998]
[1105] losses: [ 7.174 -1.497  0.03   0.03  -3.797]
[1110] losses: [ 6.541  7.354  0.032  0.032 -6.568]
[1115] losses: [ 6.782  0.603  0.029  0.028 -4.375]
[1120] losses: [ 7.101 -4.605  0.03   0.03  -5.108]
[1125] losses: [ 7.029  0.163  0.03   0.032 -5.102]
[1130] losses: [ 6.859 -1.298  0.029  0.029 -4.088]
[1135] losses: [ 6.964 -5.525  0.027  0.029 -4.572]
[1140] losses: [ 7.087  0.616  0.036  0.039 -5.056]
[1145] losses: [ 7.111 -5.651  0.033  0.033 -4.754]
[1150] losses: [ 7.031 -2.239  0.028  0.028 -5.32 ]
[1155] losses: [ 7.142  0.752  0.031  0.03  -5.19 ]
[1160] losses: [ 6.973  4.668  0.033  0.031 -4.648]
[1165] losses: [ 6.821  1.213  0.031  0.032 -4.641]
[1170] losses: [ 6.827  0.079  0.028  0.029 -4.714]
[1175] losses: [ 6.531 -1.123  0.026  0.027 -4.045]
[1180] losses: [ 6.762 -3.656  0.029  0.029 -4.647]
[1185] losses: [ 6.881  4.826  0.035  0.036 -3.761]
[1190] losses: [ 6.9    0.723  0.031  0.032 -4.869]
[1195] losses: [ 6.601 -1.498  0.03   0.03  -3.801]
[1200] losses: [ 6.829 -2.962  0.031  0.032 -4.869]
[1205] losses: [ 6.913  0.399  0.031  0.03  -4.415]
[1210] losses: [ 6.31  -4.563  0.028  0.029 -4.66 ]
[1215] losses: [ 6.407 -1.292  0.034  0.033 -4.366]
[1220] losses: [ 6.492  4.21   0.03   0.029 -4.841]
[1225] losses: [ 6.516  0.883  0.035  0.036 -5.485]
[1230] losses: [ 6.59   3.001  0.032  0.03  -4.975]
[1235] losses: [ 6.934 -5.794  0.032  0.032 -5.241]
[1240] losses: [ 6.535  1.921  0.031  0.031 -4.991]
[1245] losses: [ 6.476  2.42   0.03   0.031 -3.816]
[1250] losses: [ 6.501 -1.655  0.029  0.029 -4.715]
[1255] losses: [ 6.67   4.101  0.032  0.033 -3.303]
[1260] losses: [ 6.654  0.339  0.031  0.032 -4.404]
[1265] losses: [ 6.091 -1.897  0.028  0.029 -5.002]
[1270] losses: [ 6.276 -2.121  0.027  0.027 -5.038]
